Coach will move away from,Coach will move toward
Coordinate individuals,Coach for cooperation
Being an subject matter expert,Being a facilitator for the team
Being invested in specific outcomes,Being invested in team's overall performance
Knowing the answer,Asking the team for the answer
Talk of deadlines and technical options,Talk of biz value delivered
Fixing problems,Taking problem to the teams
Talk of doing the optimal thing,Talk of doing the right thing for the biz right now
